,titles,subtitles,links
0,'CAN'T WAIT',,https://www.thesun.co.uk/sport/football/19162940/arsenal-fans-william-saliba-return-marseille/
1,HAGGING BEHIND,Five reasons Man Utd have not signed De Jong YET as transfer talks rumble on,https://www.thesun.co.uk/sport/19163735/man-utd-barcelona-frenkie-de-jong-transfer-delay/
2,,,https://www.thesun.co.uk/sport/19158797/man-utd-transfer-news-ronaldo-ten-hag-talks/
3,NU INJURY,Darwin Nunez forced out of Liverpool training session early with injury,https://www.thesun.co.uk/sport/football/19162844/darwin-nunez-liverpool-training-injury/
4,,,https://www.thesun.co.uk/sport/betting-tips/18918779/win-vw-transporter-7days-performance/
5,,,https://www.thesun.co.uk/sport/football/19161447/harry-kane-throws-up-video-son-conte-tottenham-training/
6,KANE IS ABLE,Kane 'on Bayern shortlist to succeed Robert Lewandowski' if striker leaves,https://www.thesun.co.uk/sport/football/19160468/harry-kane-robert-lewandowski-replacement-bayern-tottenham/
7,MES-OUT,Ozil in talks with new club after having his 'Fenerbahce contract RIPPED UP',https://www.thesun.co.uk/sport/football/19162045/ozil-fenerbahce-arsenal-transfer/
8,SHOCK DEATH,"Tributes paid to ex-Barca star Carter Payne, 21, killed in hit-and-run incident",https://www.thesun.co.uk/sport/football/19157024/barcelona-academy-carter-payne-killed-21/
9,FREE BONUS,Sign up to Sun Vegas now for a £10 bonus – with NO deposit required!,https://www.thesun.co.uk/sun-bingo/15204465/sun-vegas-free-bets-no-deposit-offer/
10,TEN HAG TIME,,https://www.thesun.co.uk/sport/football/19161916/man-utd-line-up-liverpool-malacia-rashford-cristiano-ronaldo/
11,TUCHY SUBJECT,Watch Tuchel's cheeky reply as excited Chelsea fan asks about Ronaldo move,https://www.thesun.co.uk/sport/19158377/chelsea-thomas-tuchel-man-utd-cristiano-ronaldo/
12,,,https://www.thesun.co.uk/sport/19161996/man-utd-rashford-sancho-goal-pre-season-training/
13,'STILL LOOKING',Desperate Ten Hag begs Man Utd bosses for transfers after just ONE arrival,https://www.thesun.co.uk/sport/19161246/man-utd-transfer-news-ten-hag-signings/
14,,,https://www.thesun.co.uk/sport/19162096/everton-morgan-gibbs-white-transfer-rejected-wolves-contract/
15,CHASE DOWN BLOCK,,https://www.thesun.co.uk/sport/19159594/watch-pep-guardiola-chase-man-city-night-bike/
16,'A LOT OF SUCCESS',Ten Hag confirms Maguire WILL continue as Man Utd captain next season,https://www.thesun.co.uk/sport/19158799/maguire-continue-man-utd-captain-ten-hag/
17,,,https://www.thesun.co.uk/sport/19154357/raheem-sterling-chelsea-transfer-medical-man-city/
18,PAUL DONE,Juventus re-sign Pogba on free transfer from Man Utd for SECOND time,https://www.thesun.co.uk/sport/football/19158562/juventus-paul-pogba-transfer-man-utd-wages/
19,,,https://www.thesun.co.uk/sport/19158158/partick-thistle-ross-county-adam-strachan-dies/
20,LIONESSES,Get England at 80/1 to win Women's European Championships with William Hill,https://www.thesun.co.uk/sport/betting-tips/19049116/womens-euros-2022-football-betting-odds-free-bets-england/
21,,,https://www.thesun.co.uk/sport/betting-tips/19163055/spreadex-new-customer-free-bets-horse-racing-bonus-offer/
22,,,https://www.thesun.co.uk/sport/betting-tips/17372478/the-open-golf-2022-paddy-power-free-bets-offer/
23,DEAL OR NO DEAL?,,https://www.thesun.co.uk/sport/football/19161622/man-utd-ten-hag-arsenal-chelsea-malacia/
24,,,https://www.thesun.co.uk/sport/19159673/psg-transfer-list-eleven-stars-wijnaldum-icardi/
25,,,https://www.thesun.co.uk/sport/19161503/west-ham-transfer-rejected-onana-lille-arsenal/
26,JUVE GOT TO BE JOKING,,https://www.thesun.co.uk/sport/19155125/aaron-ramsey-tricked-juventus-fan-contract-termination/
27,FIRST DYBS,Dybala 'ready to join Man Utd over Arsenal' after pair scout ex-Juventus star,https://www.thesun.co.uk/sport/football/19160707/dybala-man-utd-arsenal-juventus-transfer/
28,,,https://www.thesun.co.uk/sport/football/19156889/man-utd-frenkie-de-jong-barcelona-talks/
29,AL IN,Tottenham hero Toby Alderweireld joins hometown club Royal Antwerp,https://www.thesun.co.uk/sport/19161372/tottenham-toby-alderweireld-royal-antwerp-al-duhail/
30,,,https://www.thesun.co.uk/sport/19161644/man-utd-ajax-antony-transfer-brian-brobbey/
31,POG BACK,,https://www.thesun.co.uk/sport/football/19151963/paul-pogba-romelu-lukaku-serie-a-top-earners/
32,OVER TO ROO,,https://www.thesun.co.uk/sport/football/19159405/dc-united-possible-line-up-rooney-lingard-morrison/
33,'I KNOW WHAT IT TAKES',,https://www.thesun.co.uk/sport/football/19146939/bullish-eddie-howe-newcastle-season/
34,ON THE LIS-T,Martinez 'begs Ajax to sell him' but Man Utd need to pay a staggering £51m,https://www.thesun.co.uk/sport/19160855/lisandro-martinez-ajax-man-utd-51m-transfer-bid/
