,titles,subtitles,links
0,MOVING RON,,https://www.thesun.co.uk/sport/football/19154658/man-utd-pre-season-cristiano-ronaldo/
1,DOCTOR'S ORDERS,Sterling awaiting medical results before flying to meet Chelsea team-mates,https://www.thesun.co.uk/sport/19154357/raheem-sterling-chelsea-transfer-medical-man-city/
2,,,https://www.thesun.co.uk/sport/19153705/klopp-dig-at-ten-hag-united/
3,YOUNG DEVILS,Two Man Utd youngsters have 'surprised' Ten Hag to earn pre-season tour place,https://www.thesun.co.uk/sport/football/19153198/man-utd-erik-ten-hag-pre-season-tour/
4,,,https://www.thesun.co.uk/sport/football/19152860/england-qatar-world-cup-kit/
5,,,https://www.thesun.co.uk/sport/19155756/lujan-alem-shooting-fans-horrifying-argentina/
6,BOC-ING MAD,'Catastrophe waiting to happen' - Crack appears in stand of Boca stadium,https://www.thesun.co.uk/sport/football/19154328/argentina-boca-juniors-stadium-stand-crack/
7,DIMMING LIGT,Chelsea suffer major transfer blow as De Ligt edges closer to Bayern deal,https://www.thesun.co.uk/sport/football/19154815/chelsea-transfer-matthijs-de-ligt-bayern-munich/
8,GRIM NEWS,Arsenal make £5.9m transfer bid for Benfica left-back Alex Grimaldo,https://www.thesun.co.uk/sport/football/19154819/arsenal-benfica-alex-grimaldo-arteta-tierney/
9,WINNER WINNER,Enter tonight's 8pm draw to win a Mercedes or £37k cash alternative from 89p,https://www.thesun.co.uk/sport/betting-tips/18918779/win-mercedes-7days-performance/
10,INK-REDIBLE,,https://www.thesun.co.uk/sport/19154591/ben-chilwell-tattoos-chelsea-england/
11,'STEP UP',Ajax signing Bergwijn delivers dig at Tottenham after completing £26m transfer,https://www.thesun.co.uk/sport/football/19153060/ajax-bergwijn-tottenham-transfer/
12,,,https://www.thesun.co.uk/sport/football/19155473/chelsea-transfer-leeds-raphinha-barcelona/
13,KOUL AND THE GANG,Chelsea have 'no problem' meeting £34m asking price for Koulibaly,https://www.thesun.co.uk/sport/19153154/chelsea-transfer-kalidou-koulibaly-napoli-2/
14,,,https://www.thesun.co.uk/sport/19152562/chelsea-demand-7m-barcelona-azpilicueta-transfer/
15,JUVE GOT TO BE JOKING,,https://www.thesun.co.uk/sport/19155125/aaron-ramsey-tricked-juventus-fan-contract-termination/
16,GIFT OF THE GAB,Gabby Logan reacts after Alan Sugar complains about Women's Euros coverage,https://www.thesun.co.uk/sport/19150768/gabby-logan-alan-sugar-bbc-womens-euros/
17,,,https://www.thesun.co.uk/sport/football/19147807/phil-foden-man-city-wages/
18,PREM INVESTIGATION,Leading Prem club being investigated over offshore payment to agents,https://www.thesun.co.uk/sport/football/19147123/premier-league-club-investigated-offshore-payment-agents/
19,,,https://www.thesun.co.uk/sport/football/19152354/wolves-injury-chiquinho-cruciate-burnley/
20,LIONESSES,Get England at 80/1 to win Women's European Championships with William Hill,https://www.thesun.co.uk/sport/betting-tips/19049116/womens-euros-2022-football-betting-odds-free-bets-england/
21,,,https://www.thesun.co.uk/sport/betting-tips/15779007/online-casino-deals-new-customer-sign-up-bonus/
22,,,https://www.thesun.co.uk/sport/betting-tips/17372478/euro-2022-womens-paddy-power-free-bets-football-bonus/
23,POG BACK,,https://www.thesun.co.uk/sport/football/19151963/paul-pogba-romelu-lukaku-serie-a-top-earners/
24,,,https://www.thesun.co.uk/sport/19150535/ten-hag-man-utd-transfer-martinez-antony/
25,,,https://www.thesun.co.uk/sport/football/19154085/inter-man-utd-arsenal-alexis-sanchez-paulo-dybala-transfer/
26,'I KNOW WHAT IT TAKES',,https://www.thesun.co.uk/sport/football/19146939/bullish-eddie-howe-newcastle-season/
