,titles,subtitles,links
0,MOVING RON,Man Utd plan for pre-season WITHOUT Ronaldo - with cut-off at the end of week,https://www.thesun.co.uk/sport/football/19154658/man-utd-pre-season-cristiano-ronaldo/
1,DOCTOR'S ORDERS,Sterling awaiting medical results before flying to meet Chelsea team-mates,https://www.thesun.co.uk/sport/19154357/raheem-sterling-chelsea-transfer-medical-man-city/
2,RED MIST,Klopp aims cheeky dig at Man Utd as Liverpool prepare to face rivals in friendly,https://www.thesun.co.uk/sport/19153705/klopp-dig-at-ten-hag-united/
3,YOUNG DEVILS,Two Man Utd youngsters have 'surprised' Ten Hag to earn pre-season tour place,https://www.thesun.co.uk/sport/football/19153198/man-utd-erik-ten-hag-pre-season-tour/
4,'WORST ONE EVER?',England Qatar World Cup kit leaked online with fans split on 90s design,https://www.thesun.co.uk/sport/football/19152860/england-qatar-world-cup-kit/
5,FOOTY HORROR,Teenager fighting for life & at least 15 more injured after SHOOTING at match,https://www.thesun.co.uk/sport/19155756/lujan-alem-shooting-fans-horrifying-argentina/
6,BOC-ING MAD,'Catastrophe waiting to happen' - Crack appears in stand of Boca stadium,https://www.thesun.co.uk/sport/football/19154328/argentina-boca-juniors-stadium-stand-crack/
7,DIMMING LIGT,Chelsea suffer major transfer blow as De Ligt edges closer to Bayern deal,https://www.thesun.co.uk/sport/football/19154815/chelsea-transfer-matthijs-de-ligt-bayern-munich/
8,GRIM NEWS,Arsenal make £5.9m transfer bid for Benfica left-back Alex Grimaldo,https://www.thesun.co.uk/sport/football/19154819/arsenal-benfica-alex-grimaldo-arteta-tierney/
9,WINNER WINNER,Enter tonight's 8pm draw to win a Mercedes or £37k cash alternative from 89p,https://www.thesun.co.uk/sport/betting-tips/18918779/win-mercedes-7days-performance/
10,INK-REDIBLE,Chilwell's tattoos and what the Chelsea and England star's ink represents,https://www.thesun.co.uk/sport/19154591/ben-chilwell-tattoos-chelsea-england/
11,'STEP UP',Ajax signing Bergwijn delivers dig at Tottenham after completing £26m transfer,https://www.thesun.co.uk/sport/football/19153060/ajax-bergwijn-tottenham-transfer/
12,GOING BARC,Chelsea blow as Barca 'set to win £63m Raphinha race' after they sell TV rights,https://www.thesun.co.uk/sport/football/19155473/chelsea-transfer-leeds-raphinha-barcelona/
13,KOUL AND THE GANG,Chelsea have 'no problem' meeting £34m asking price for Koulibaly,https://www.thesun.co.uk/sport/19153154/chelsea-transfer-kalidou-koulibaly-napoli-2/
14,AZZY DOES IT,Chelsea demand £7m from Barcelona for Azpilicueta transfer with 'deal agreed',https://www.thesun.co.uk/sport/19152562/chelsea-demand-7m-barcelona-azpilicueta-transfer/
15,JUVE GOT TO BE JOKING,Autograph hunter tricks Ramsey into signing 'contract termination',https://www.thesun.co.uk/sport/19155125/aaron-ramsey-tricked-juventus-fan-contract-termination/
16,GIFT OF THE GAB,Gabby Logan reacts after Alan Sugar complains about Women's Euros coverage,https://www.thesun.co.uk/sport/19150768/gabby-logan-alan-sugar-bbc-womens-euros/
17,WINNING THE TREBLE,Foden to get TREBLE-your-money deal with City to bump wages up to £200k,https://www.thesun.co.uk/sport/football/19147807/phil-foden-man-city-wages/
18,PREM INVESTIGATION,Leading Prem club being investigated over offshore payment to agents,https://www.thesun.co.uk/sport/football/19147123/premier-league-club-investigated-offshore-payment-agents/
19,WOLF HACK,Wolves handed huge blow as Chiquinho suffers cruciate ligament injury in friendly,https://www.thesun.co.uk/sport/football/19152354/wolves-injury-chiquinho-cruciate-burnley/
20,LIONESSES,Get England at 80/1 to win Women's European Championships with William Hill,https://www.thesun.co.uk/sport/betting-tips/19049116/womens-euros-2022-football-betting-odds-free-bets-england/
21,CASINO DEALS,The best casino offers from free spins and bonus cash to no deposit deals,https://www.thesun.co.uk/sport/betting-tips/15779007/online-casino-deals-new-customer-sign-up-bonus/
22,CASH BACK,Euro 2022: Get Money back as CASH up to £20 if your bet loses - 18+ T&Cs apply,https://www.thesun.co.uk/sport/betting-tips/17372478/euro-2022-womens-paddy-power-free-bets-football-bonus/
23,POG BACK,Pogba and Lukaku among 10 best paid players in Serie A but behind Man Utd flop,https://www.thesun.co.uk/sport/football/19151963/paul-pogba-romelu-lukaku-serie-a-top-earners/
24,MAR TO COME,Ten Hag 'pressing' Man Utd to increase transfer bids for Martinez and Antony,https://www.thesun.co.uk/sport/19150535/ten-hag-man-utd-transfer-martinez-antony/
25,SANCH SALE,Inter eye sale of former Man Utd and Arsenal star Sanchez to to fund Dybala deal,https://www.thesun.co.uk/sport/football/19154085/inter-man-utd-arsenal-alexis-sanchez-paulo-dybala-transfer/
26,'I KNOW WHAT IT TAKES',Howe ready for massive season - as it's revealed Toon outspent Big 6,https://www.thesun.co.uk/sport/football/19146939/bullish-eddie-howe-newcastle-season/
27,NOU DEVELOPMENT,Chelsea 'ready to move for Lewandowski' if Barca's confirmed bid fails,https://www.thesun.co.uk/sport/football/19150553/chelsea-lewandowski-barcelona-transfer-bid/
28,RICH DEAL,Omar Richards joins Nottingham Forest from Bayern Munich as spending continues,https://www.thesun.co.uk/sport/19151673/richards-completes-forest-10m-transfer-bayern/
29,RHODE BLOCK,Boro transfer move for Rhodes in doubt with new Huddersfield boss a fan,https://www.thesun.co.uk/sport/football/19151170/middlesbrough-jordan-rhodes-huddersfield-transfer-exclusive/
30,THAT'S HOWE IT'S DONE,Newcastle boss Howe reveals advice from Toon icons Shearer and Keegan,https://www.thesun.co.uk/sport/19146783/newcastle-eddie-howe-alan-shearer-kevin-keegan/
31,LONDON CALLING,Chelsea close in on £50m Sterling transfer with star to sign SIX-year deal,https://www.thesun.co.uk/sport/football/19148139/chelsea-raheem-sterling-man-city-transfer/
32,KANT BELIEVE IT,Arsenal eye shock Kante swoop as World Cup winner enters final year of deal,https://www.thesun.co.uk/sport/football/19150243/arsenal-transfer-ngolo-kante-chelsea-tour/
33,LUK WHO'S BACK,Lukaku marks Inter return with 10-0 win as Chelsea flop gets on scoresheet,https://www.thesun.co.uk/sport/19150839/lukaku-inter-return-10-0-goal-chelsea/
34,JOURNEY SOUTH,Southampton chasing cut-price £10m deal for former Celtic star Moussa Dembele,https://www.thesun.co.uk/sport/football/19146478/southampton-celtic-moussa-dembele-lyon/
35,REGUI-GONE,"Tottenham leave £100m quartet Ndombele, Lo Celso, Reguilon and Winks AT HOME",https://www.thesun.co.uk/sport/football/19147285/tottenham-ndombele-lo-celso-reguilon-winks-conte-transfer/
36,'HAD A RAW DEAL',Jones backed by Dunn to change fortunes under Ten Hag despite missing tour,https://www.thesun.co.uk/sport/19147469/man-utd-phil-jones-pre-season-erik-ten-hag/
37,GOING AFTER GUS,Fulham boss Silva keen on £10million-rated Coventry midfielder Hamer,https://www.thesun.co.uk/sport/19146830/gustavo-hamer-transfer-fulham-coventry/
38,GUNNERS LATEST,"Gunners 'SUBMIT' £5.9m bid for Grimaldo, Tielemans top priority",https://www.thesun.co.uk/sport/19098994/arsenal-transfer-news-live-kante-tielemans-grimaldo/
39,BLUES LATEST,"Raheem Sterling to UNDERGO medical, Lewandowski WANTS Blues move",https://www.thesun.co.uk/sport/football/18984148/chelsea-transfer-news-live-sterling-man-city-lewandowski-raphinha/
40,UNITED LATEST,"Ronaldo's 'SIX FIGURE' bonus deal, Strakosha deal imminent",https://www.thesun.co.uk/sport/football/19072018/man-utd-transfer-news-live-frenkie-de-jong-leandro-paredes-strakosha/
41,EUROS ROUND-UP,Popp nets on debut as Germany crush Denmark after Spain beat Finland,https://www.thesun.co.uk/sport/19141715/germany-denmark-spain-womens-euros/
42,SIMPLY THE BETH,Mead tells England pal White she's gunning for her all-time scoring record,https://www.thesun.co.uk/sport/19140910/euro-2022-beth-mead-england-ellen-white/
43,NORWAY 4 NORTHERN IRELAND 1,Shiels' aces beaten as WSL stars net during Hegerberg's return,https://www.thesun.co.uk/sport/19129376/norway-northern-ireland-womens-euros/
44,SHORT SHRIFT,England Women ask Nike to change shorts over period concerns during Euro 2022,https://www.thesun.co.uk/sport/19119758/england-women-nike-period-concerns/
45,INJURY BLOW,Spain ace Alexia Putellas ruled out of Women’s Euros after knee injury,https://www.thesun.co.uk/sport/19105502/alexia-putellas-acl-injury-spain/
46,LOVE STORY,Jack Grealish has 'fallen in love' on romantic getaway with Wag Sasha Attwood,https://www.thesun.co.uk/sport/football/19151660/man-city-jack-grealish-athens-holiday-love-sasha-attwood/
47,PINEAPPLE EXPRESS,Neymar's sister Rafaella flashes soapy bum as she sips from pineapple,https://www.thesun.co.uk/sport/19143690/neymar-sister-rafaella-flashes-bum-jacuzzi/
48,MO LIKE IT,Mo Salah shows off incredible abs after signing new £400k-a-week Liverpool deal,https://www.thesun.co.uk/sport/19112614/salah-trunks-incredible-abs-400k-deal/
49,MARK IRWIN,Man Utd boss Ten Hag and Lampard will be nervous now Pochettino is a free agent,https://www.thesun.co.uk/sport/19128687/pochettino-man-utd-ten-hag-chelsea-managers-beware/
50,ANDY DILLON,Chelsea to become transfer market bullies with statement signing of Sterling,https://www.thesun.co.uk/sport/football/19115918/chelsea-transfer-market-bullies-raheem-sterling/
51,RON THE WAY OUT,Ronaldo's quitting Utd as he's in a team of Love Island wannabes says Piers,https://www.thesun.co.uk/sport/19100091/cristiano-ronaldo-man-utd-piers-morgan-love-island/
